datetime,respondent_code,respondent_name,demand_value,units
2024-10-30 05:00:00,NE,New England,10615.0,megawatthours
2024-10-30 06:00:00,NE,New England,-517.0,megawatthours
2024-10-30 06:00:00,NE,New England,9899.0,megawatthours
2024-10-30 06:00:00,NE,New England,9880.0,megawatthours
2024-10-30 06:00:00,NE,New England,10416.0,megawatthours
2024-10-30 07:00:00,NE,New England,-368.0,megawatthours
2024-10-30 07:00:00,NE,New England,9961.0,megawatthours
2024-10-30 07:00:00,NE,New England,9660.0,megawatthours
2024-10-30 07:00:00,NE,New England,10329.0,megawatthours
2024-10-30 08:00:00,NE,New England,10277.0,megawatthours
2024-10-30 08:00:00,NE,New England,9630.0,megawatthours
2024-10-30 08:00:00,NE,New England,-376.0,megawatthours
2024-10-30 08:00:00,NE,New England,9901.0,megawatthours
2024-10-30 09:00:00,NE,New England,-410.0,megawatthours
2024-10-30 09:00:00,NE,New England,10093.0,megawatthours
2024-10-30 09:00:00,NE,New England,9890.0,megawatthours
2024-10-30 09:00:00,NE,New England,10503.0,megawatthours
2024-10-30 10:00:00,NE,New England,-922.0,megawatthours
2024-10-30 10:00:00,NE,New England,10080.0,megawatthours
2024-10-30 10:00:00,NE,New England,10720.0,megawatthours
2024-10-30 10:00:00,NE,New England,11002.0,megawatthours
2024-10-30 11:00:00,NE,New England,-1122.0,megawatthours
2024-10-30 11:00:00,NE,New England,11096.0,megawatthours
2024-10-30 11:00:00,NE,New England,12170.0,megawatthours
2024-10-30 11:00:00,NE,New England,12218.0,megawatthours
2024-10-30 12:00:00,NE,New England,13089.0,megawatthours
2024-10-30 12:00:00,NE,New England,-1473.0,megawatthours
2024-10-30 12:00:00,NE,New England,11616.0,megawatthours
2024-10-30 12:00:00,NE,New England,13130.0,megawatthours
2024-10-30 13:00:00,NE,New England,-1329.0,megawatthours
2024-10-30 13:00:00,NE,New England,11846.0,megawatthours
2024-10-30 13:00:00,NE,New England,13190.0,megawatthours
2024-10-30 13:00:00,NE,New England,13175.0,megawatthours
2024-10-30 14:00:00,NE,New England,-1334.0,megawatthours
2024-10-30 14:00:00,NE,New England,11433.0,megawatthours
2024-10-30 14:00:00,NE,New England,12760.0,megawatthours
2024-10-30 14:00:00,NE,New England,12767.0,megawatthours
2024-10-30 15:00:00,NE,New England,-1013.0,megawatthours
2024-10-30 15:00:00,NE,New England,11186.0,megawatthours
2024-10-30 15:00:00,NE,New England,11880.0,megawatthours
2024-10-30 15:00:00,NE,New England,12199.0,megawatthours
2024-10-30 16:00:00,NE,New England,11784.0,megawatthours
2024-10-30 16:00:00,NE,New England,-839.0,megawatthours
2024-10-30 16:00:00,NE,New England,10945.0,megawatthours
2024-10-30 16:00:00,NE,New England,11320.0,megawatthours
2024-10-30 17:00:00,NE,New England,-862.0,megawatthours
2024-10-30 17:00:00,NE,New England,10646.0,megawatthours
