date,region,type_name,sum,mean,min,max
2024-09-08T16,PJM,Natural Gas,27422.0,27422.0,27422.0,27422.0
2024-09-08T16,PJM,Nuclear,32592.0,32592.0,32592.0,32592.0
2024-09-08T16,PJM,Solar,7404.0,7404.0,7404.0,7404.0
2024-09-08T16,PJM,Wind,1288.0,1288.0,1288.0,1288.0
2024-09-08T17,MISO,Coal,12351.0,12351.0,12351.0,12351.0
2024-09-08T17,MISO,Hydro,557.0,557.0,557.0,557.0
2024-09-08T17,MISO,Natural Gas,19137.0,19137.0,19137.0,19137.0
2024-09-08T17,MISO,Nuclear,11687.0,11687.0,11687.0,11687.0
2024-09-08T17,MISO,Solar,6791.0,6791.0,6791.0,6791.0
2024-09-08T17,MISO,Wind,7186.0,7186.0,7186.0,7186.0
2024-09-08T17,PJM,Coal,7365.0,7365.0,7365.0,7365.0
2024-09-08T17,PJM,Hydro,1184.0,1184.0,1184.0,1184.0
2024-09-08T17,PJM,Natural Gas,29108.0,29108.0,29108.0,29108.0
2024-09-08T17,PJM,Nuclear,32500.0,32500.0,32500.0,32500.0
2024-09-08T17,PJM,Solar,7404.0,7404.0,7404.0,7404.0
2024-09-08T17,PJM,Wind,1239.0,1239.0,1239.0,1239.0
2024-09-08T18,MISO,Coal,12690.0,12690.0,12690.0,12690.0
2024-09-08T18,MISO,Hydro,553.0,553.0,553.0,553.0
2024-09-08T18,MISO,Natural Gas,20470.0,20470.0,20470.0,20470.0
2024-09-08T18,MISO,Nuclear,11680.0,11680.0,11680.0,11680.0
2024-09-08T18,MISO,Solar,6709.0,6709.0,6709.0,6709.0
2024-09-08T18,MISO,Wind,7232.0,7232.0,7232.0,7232.0
2024-09-08T18,PJM,Coal,7109.0,7109.0,7109.0,7109.0
2024-09-08T18,PJM,Hydro,1148.0,1148.0,1148.0,1148.0
2024-09-08T18,PJM,Natural Gas,31327.0,31327.0,31327.0,31327.0
2024-09-08T18,PJM,Nuclear,32446.0,32446.0,32446.0,32446.0
2024-09-08T18,PJM,Solar,7533.0,7533.0,7533.0,7533.0
2024-09-08T18,PJM,Wind,1202.0,1202.0,1202.0,1202.0
2024-09-08T19,MISO,Coal,12873.0,12873.0,12873.0,12873.0
2024-09-08T19,MISO,Hydro,560.0,560.0,560.0,560.0
2024-09-08T19,MISO,Natural Gas,21825.0,21825.0,21825.0,21825.0
2024-09-08T19,MISO,Nuclear,11665.0,11665.0,11665.0,11665.0
2024-09-08T19,MISO,Solar,6674.0,6674.0,6674.0,6674.0
2024-09-08T19,MISO,Wind,7106.0,7106.0,7106.0,7106.0
2024-09-08T19,PJM,Coal,7093.0,7093.0,7093.0,7093.0
2024-09-08T19,PJM,Hydro,1513.0,1513.0,1513.0,1513.0
2024-09-08T19,PJM,Natural Gas,32526.0,32526.0,32526.0,32526.0
2024-09-08T19,PJM,Nuclear,32477.0,32477.0,32477.0,32477.0
2024-09-08T19,PJM,Solar,7492.0,7492.0,7492.0,7492.0
2024-09-08T19,PJM,Wind,1173.0,1173.0,1173.0,1173.0
2024-09-08T20,MISO,Coal,13591.0,13591.0,13591.0,13591.0
2024-09-08T20,MISO,Hydro,565.0,565.0,565.0,565.0
2024-09-08T20,MISO,Natural Gas,23590.0,23590.0,23590.0,23590.0
2024-09-08T20,MISO,Nuclear,11663.0,11663.0,11663.0,11663.0
2024-09-08T20,MISO,Solar,6665.0,6665.0,6665.0,6665.0
2024-09-08T20,MISO,Wind,6787.0,6787.0,6787.0,6787.0
2024-09-08T20,PJM,Coal,7110.0,7110.0,7110.0,7110.0
2024-09-08T20,PJM,Hydro,1675.0,1675.0,1675.0,1675.0
2024-09-08T20,PJM,Natural Gas,35358.0,35358.0,35358.0,35358.0
2024-09-08T20,PJM,Nuclear,32455.0,32455.0,32455.0,32455.0
2024-09-08T20,PJM,Solar,7143.0,7143.0,7143.0,7143.0
2024-09-08T20,PJM,Wind,1240.0,1240.0,1240.0,1240.0
2024-09-08T21,MISO,Coal,14563.0,14563.0,14563.0,14563.0
2024-09-08T21,MISO,Hydro,1081.0,1081.0,1081.0,1081.0
2024-09-08T21,MISO,Natural Gas,24428.0,24428.0,24428.0,24428.0
